chain_id,name
12602,SunSquare
12606,Hotel Royal
12626,Mane Hotel Collection
12628,Robinsons Hotels and Resorts
12629,Wombats City Hostel
12639,Thompson Hotels
12644,Agrisal
12649,Ensana Hotels
12662,PRAN Hotels Inc.
12667,Noktos
12670,My Second Home
12699,Alila Hotels
12700,Joie De Vivre
12701,Destination by Hyatt
12702,Four Seasons Private Residences
12717,Mida Hotels and Resorts
12727,Cobblestone Hotels
12732,Design Hotels
12736,Allegroitalia Hotels & Condo
12738,Old Town Hotels
12739,ANA Hotels
12740,Mera Hotels
12743,Pierre & Vacances H̫tel
12747,WoodSpring
12748,DOT Hotels
12749,AG Hotels
12756,Tridente Collection
12767,Ona hotels
12774,CitySuites
12775,Midtown Richardson
12776,Hotel PaPa Whale
12814,Travcotels
12832,Rede Summit Hotels
12835,Club Esse Hotels and Resorts
12838,Serenade Hotels
12841,Oakwood Suites
12853,Marriott International
12875,Club
12876,Excel
12877,Wympen
12883,Roter Hahn - Urlaub auf dem Bauernhof
12892,RocketFuel (FR)
12893,Aloft
12894,Element by Westin
12895,Four Points by Sheraton
12896,Le Meridien Hotels & Resorts
12897,Luxury Collection
12898,Westin
12899,W Hotels
12900,Tribute Portfolio
12901,St. Regis
12902,Sheraton
12909,Zleep Hotels
12911,PARKROYAL COLLECTION
12916,Best Western Hotels
12917,WorldHotels Collection
12918,WorldHotels Distinctive
12919,WorldHotels Luxury
12920,WorldHotels Elite
12927,Extra Holidays Australia
12940,Collection by Aston
12941,Grand Aston
12942,Harper
12943,Kamuela
12944,Neo
12945,Quest
12946,The Alana
12947,Favehotel
12948,FOX Lite
12949,Hotel Ciputra
12950,Swiss-Belboutique
12951,Swiss-Belexpress
12952,Swiss-Belhotel
12953,Swiss-Belinn
12954,Swiss-Belresidences
12955,Swiss-Belresort
12956,Swiss-Inn
12957,Zest Hotel
12958,Amaris
12959,Other
12960,Samaya
12961,Santika
12962,Santika Premiere
12964,Mangia's Resorts and Clubs
12970,Ramada Encore
12974,Prizeotel
12977,Radisson Hotels
13007,Xima Hotels
13020,Grand Sens by Oasis
13037,Plataran Group
13039,4L Collection
13040,Omnia Hotels
13041,hi Hotels
13042,Resorts
13061,Asteri hotels
